autor_docente,ano,sub_tipo_producao,citescore,quartil_citescore,percentile,quartil_percentile,qualis_estrato,programas_quantidade
1,2006,25,-1,0,-1,0,0,1
1,2018,25,5.8,1,97,1,1,1
1,2017,25,2.86,1,92,1,1,3
2,2003,8,-1,0,-1,0,0,1
2,2003,8,-1,0,-1,0,0,1
1,1999,8,-1,0,-1,0,0,1
1,2006,8,-1,0,-1,0,0,1
1,2006,8,-1,0,-1,0,0,1
1,2001,25,1.55,0.75,69,0.75,0,1
2,2002,25,1.55,0.75,69,0.75,0,1
1,2002,8,-1,0,-1,0,0,1
2,2000,8,-1,0,-1,0,0,2
1,2003,8,-1,0,-1,0,0,1
2,2003,8,-1,0,-1,0,0,1
1,2002,8,-1,0,-1,0,0,2
1,1999,8,-1,0,-1,0,0,1
2,2002,25,-1,0,-1,0,0,1
1,2010,25,1.34,0.75,60,0.75,0.7,1
1,2017,25,1.93,0.75,69,0.75,0.8,1
1,2019,25,2.95,1,66,0.75,0.5,3
1,2013,25,2.33,1,97,1,1,1
2,2004,9,-1,0,-1,0,0,2
1,2014,8,-1,0,-1,0,0,1
1,2014,8,-1,0,-1,0,0,1
1,2014,25,-1,0,-1,0,0.05,1
1,2013,25,-1,0,-1,0,0.05,1
3,2015,25,0.82,0.5,50,0.75,0,4
1,2017,25,-1,0,-1,0,0.7,2
2,2011,25,4.32,1,92,1,0.9,4
1,2005,8,-1,0,-1,0,0,3
1,2015,25,-1,0,-1,0,0.5,3
1,2012,8,-1,0,-1,0,0,3
1,2013,25,-1,0,-1,0,0.5,3
1,2006,8,-1,0,-1,0,0,3
1,2005,8,-1,0,-1,0,0,1
1,2017,25,0.34,0.5,24,0.25,0.35,3
1,2012,8,-1,0,-1,0,0,3
2,2006,8,-1,0,-1,0,0,3
1,2012,25,-1,0,-1,0,0.05,3
1,2017,25,0.57,0.5,56,0.75,0.9,1
1,2013,25,3.45,1,75,0.75,0.9,1
1,2013,8,-1,0,-1,0,0,1
1,2016,25,0.17,0.25,19,0.25,0.9,1
1,2013,25,2.16,1,79,1,0.9,1
2,2012,25,2.86,1,92,1,1,3
1,2014,25,2.82,1,91,1,0.8,3
3,2014,25,0.2,0.25,19,0.25,0,1
1,2013,25,0.77,0.5,48,0.5,0,1
2,2015,25,0.36,0.5,30,0.5,0.5,1
1,2016,25,-1,0,-1,0,0.8,1
2,2016,25,0.21,0.25,20,0.25,0.2,1
1,2013,25,0.77,0.5,48,0.5,0,1
3,2018,25,1.14,0.75,65,0.75,0.8,1
1,2008,8,-1,0,-1,0,0,1
1,2000,25,2.02,1,67,0.75,0.8,1
2,2007,25,-1,0,-1,0,0,1
1,2009,25,-1,0,-1,0,0,1
1,1985,25,0.2,0.25,9,0.25,0.2,1
1,2012,8,-1,0,-1,0,0,1
1,2006,25,0.98,0.75,40,0.5,0.7,1
1,2007,25,-1,0,-1,0,0,1
1,1997,8,-1,0,-1,0,0,1
1,1994,8,-1,0,-1,0,0,1
1,1995,25,1.48,0.75,53,0.75,0.7,1
1,2005,25,3.86,1,90,1,0.9,1
1,2008,25,4.44,1,80,1,0.8,1
2,2007,8,-1,0,-1,0,0,1
1,1998,8,-1,0,-1,0,0,1
1,1983,8,-1,0,-1,0,0,1
1,2006,25,-1,0,-1,0,0,1
2,2007,25,-1,0,-1,0,0,1
1,1995,25,1.32,0.75,62,0.75,0.7,1
1,2002,8,-1,0,-1,0,0,1
2,2002,25,4.54,1,83,1,0,1
1,2010,25,2.04,1,83,1,0.8,1
1,1996,25,1.48,0.75,53,0.75,0.7,1
1,1997,8,-1,0,-1,0,0,1
1,2002,9,-1,0,-1,0,0,1
1,2015,25,4.44,1,80,1,0.8,1
1,2000,8,-1,0,-1,0,0,1
1,2002,8,-1,0,-1,0,0,1
1,2012,25,4.54,1,83,1,0,1
2,2000,25,-1,0,-1,0,0.9,1
2,1999,8,-1,0,-1,0,0,1
1,2001,8,-1,0,-1,0,0,1
2,2007,8,-1,0,-1,0,0,1
1,2008,25,3.86,1,90,1,0.9,1
1,2006,8,-1,0,-1,0,0,1
1,1995,25,1.02,0.75,72,0.75,0.5,1
1,2004,25,0.98,0.75,40,0.5,0.7,1
1,1998,8,-1,0,-1,0,0,1
1,2003,25,1.26,0.75,51,0.75,0.5,1
1,2007,8,-1,0,-1,0,0,1
1,1999,8,-1,0,-1,0,0,1
1,2001,8,-1,0,-1,0,0,1
1,2008,8,-1,0,-1,0,0,1
1,2017,25,1.48,0.75,53,0.75,0.7,1
1,2012,8,-1,0,-1,0,0,1
1,1995,8,-1,0,-1,0,0,1
1,2006,8,-1,0,-1,0,0,1
1,2000,8,-1,0,-1,0,0,1
1,2006,8,-1,0,-1,0,0,1
1,2007,8,-1,0,-1,0,0,1
1,2007,8,-1,0,-1,0,0,1
1,1986,25,0.2,0.25,9,0.25,0.2,1
1,2007,8,-1,0,-1,0,0,1
1,2011,25,3.86,1,90,1,0.9,1
1,2001,8,-1,0,-1,0,0,1
1,2005,8,-1,0,-1,0,0,1
1,1993,25,1.32,0.75,62,0.75,0.7,1
1,1998,8,-1,0,-1,0,0,1
1,1994,8,-1,0,-1,0,0,1
1,2010,25,-1,0,-1,0,0,1
1,2012,25,0.24,0.25,14,0.25,1,1
1,2008,8,-1,0,-1,0,0,1
2,2010,25,-1,0,-1,0,0,1
1,1998,25,1.48,0.75,53,0.75,0.7,1
1,1999,8,-1,0,-1,0,0,1
2,2007,8,-1,0,-1,0,0,1
1,2018,25,4.46,1,94,1,0.9,1
1,1993,25,-1,0,-1,0,0,1
1,2010,8,-1,0,-1,0,0,1
1,2010,25,-1,0,-1,0,0,1
1,2005,8,-1,0,-1,0,0,1
1,1993,8,-1,0,-1,0,0,1
2,2003,8,-1,0,-1,0,0,2
1,2009,8,-1,0,-1,0,0,1
1,2010,8,-1,0,-1,0,0,1
1,1995,8,-1,0,-1,0,0,1
1,1993,8,-1,0,-1,0,0,1
1,2018,25,-1,0,-1,0,0,1
1,2009,8,-1,0,-1,0,0,1
1,2017,8,-1,0,-1,0,0,1
1,2005,8,-1,0,-1,0,0,1
1,2006,8,-1,0,-1,0,0,1
1,2012,25,-1,0,-1,0,0,1
1,2009,8,-1,0,-1,0,0,1
1,2015,8,-1,0,-1,0,0,1
1,2005,8,-1,0,-1,0,0,1
1,2010,8,-1,0,-1,0,0,1
1,2015,8,-1,0,-1,0,0,1
1,2012,25,-1,0,-1,0,0.05,1
1,2009,25,-1,0,-1,0,0,1
1,2016,25,-1,0,-1,0,0.5,1
2,2005,8,-1,0,-1,0,0,1
1,2005,8,-1,0,-1,0,0,1
1,2018,25,-1,0,-1,0,0,1
1,2015,8,-1,0,-1,0,0,1
1,2017,8,-1,0,-1,0,0,1
1,2005,8,-1,0,-1,0,0,1
1,2007,8,-1,0,-1,0,0,1
1,2010,25,-1,0,-1,0,0,1
1,2005,8,-1,0,-1,0,0,1
1,2010,8,-1,0,-1,0,0,1
1,2015,8,-1,0,-1,0,0,1
1,2016,8,-1,0,-1,0,0,1
1,2005,8,-1,0,-1,0,0,1
2,2015,8,-1,0,-1,0,0,1
1,2007,8,-1,0,-1,0,0,1
1,2005,8,-1,0,-1,0,0,1
1,2005,8,-1,0,-1,0,0,1
1,2016,8,-1,0,-1,0,0,1
1,2009,8,-1,0,-1,0,0,1
1,2017,8,-1,0,-1,0,0,1
1,2005,8,-1,0,-1,0,0,1
1,2010,25,-1,0,-1,0,0,1
1,1995,8,-1,0,-1,0,0,1
1,2015,8,-1,0,-1,0,0,1
2,2010,8,-1,0,-1,0,0,2
1,1993,25,-1,0,-1,0,0,1
2,2016,25,-1,0,-1,0,0.35,1
1,2015,8,-1,0,-1,0,0,1
1,1997,8,-1,0,-1,0,0,1
1,1988,25,-1,0,-1,0,0,1
1,1987,9,-1,0,-1,0,0,1
1,1991,8,-1,0,-1,0,0,1
1,2000,8,-1,0,-1,0,0,2
1,2019,25,4.06,1,91,1,1,3
1,2014,8,-1,0,-1,0,0,1
1,2012,8,-1,0,-1,0,0,1
1,2014,8,-1,0,-1,0,0,1
1,2005,8,-1,0,-1,0,0,1
1,2015,8,-1,0,-1,0,0,1
2,2011,8,-1,0,-1,0,0,1
1,2011,25,-1,0,-1,0,0,1
1,2014,8,-1,0,-1,0,0,1
1,2014,8,-1,0,-1,0,0,1
1,2013,8,-1,0,-1,0,0,1
1,2017,25,-1,0,-1,0,0,1
1,2012,8,-1,0,-1,0,0,1
1,2010,8,-1,0,-1,0,0,1
1,2013,8,-1,0,-1,0,0,1
1,2014,25,-1,0,-1,0,0,1
1,2013,25,-1,0,-1,0,0,1
1,2007,8,-1,0,-1,0,0,1
1,2015,25,-1,0,-1,0,0,1
1,2009,8,-1,0,-1,0,0,1
1,2012,25,0.36,0.5,15,0.25,0.2,1
3,2016,25,-1,0,-1,0,0.5,2
1,2009,25,1.29,0.75,65,0.75,0.7,1
1,2014,25,1.19,0.75,79,1,0.9,3
1,2015,25,3.72,1,94,1,1,1
1,2016,25,1.72,0.75,70,0.75,0.5,1
2,2018,25,0.34,0.5,14,0.25,0,2
1,1997,25,0.36,0.5,25,0.5,0,2
