id,id_autor,nome_normalizado,h_index,n_colab_inter,p_colab_inter,d1_A1,d1_A2,d1_A3,d1_A4,d1_B1,d1_B2,d1_B3,d1_B4,d1_C/NI/NP,d1_total,d2_A1,d2_A2,d2_A3,d2_A4,d2_B1,d2_B2,d2_B3,d2_B4,d2_C/NI/NP,d2_total,d3_A1,d3_A2,d3_A3,d3_A4,d3_B1,d3_B2,d3_B3,d3_B4,d3_C/NI/NP,d3-total,d4_A1,d4_A2,d4_A3,d4_A4,d4_B1,d4_B2,d4_B3,d4_B4,d4_C/NI/NP,d4_total,cluster_k2,cluster_k3,cluster_k4
0,44201,EDUARDO ANIBAL PELLEJERO,0,0,0,0,0,0,0,0,0,0,0,7,7,2,2,0,0,1,0,0,1,67,73,0,3,2,6,4,0,7,4,79,105,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster2
1,3219,MARIA DAS GRACAS SOARES RODRIGUES,0,0,0,0,0,0,0,0,0,0,0,18,18,0,0,1,0,0,0,0,0,51,52,0,2,1,2,1,0,3,0,109,118,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
2,3868,SEBASTIAO GUILHERME ALBANO DA COSTA,0,0,0,0,0,0,0,0,0,0,0,39,39,0,3,1,0,0,1,0,0,52,57,1,14,2,6,1,5,0,6,73,108,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster2
3,79687,OLIVIA MORAIS DE MEDEIROS NETA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,80,84,0,1,19,1,4,5,2,1,86,119,0,0,0,0,0,0,0,0,0,0,cluster1,cluster1,cluster2
4,46463,MARIA DO LIVRAMENTO MIRANDA CLEMENTINO,0,0,0,0,1,0,0,0,0,0,0,27,28,0,5,0,0,0,0,0,1,62,68,2,4,0,3,2,2,0,4,61,78,0,0,0,0,0,0,0,0,0,0,cluster0,cluster1,cluster2
5,14551,KARENINE DE OLIVEIRA PORPINO,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,2,0,2,0,0,59,63,1,0,5,4,0,4,0,2,61,77,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster2
6,58425,MARIA DO SOCORRO FURTADO VELOSO,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,1,0,0,0,0,0,37,38,1,2,1,2,4,4,1,1,77,93,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
7,79543,KARYNE DIAS COUTINHO,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,24,24,1,1,0,2,0,0,0,0,46,50,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
8,37017,JOSE WILLINGTON GERMANO,0,0,0,1,0,0,0,0,0,0,0,68,69,2,1,0,0,0,5,0,5,159,172,0,1,1,1,0,9,0,4,81,97,0,0,0,0,0,0,0,0,0,0,cluster0,cluster1,cluster2
9,63169,LIGIO JOSE DE OLIVEIRA MAIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,16,2,0,1,0,0,0,0,1,16,20,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
